year,gmsl_variation_with_gia,gmsl_variation_with_gia_std
2020.296259,50.43,85.88
2020.323351,54.01,84.07
2020.350443,56.84,86.01
2020.377535,55.75,85.16
2020.404627,53,86.84
2020.431719,53.65,84.29
2020.458811,50.79,82.69
2020.485903,52.57,83.29
2020.512995,53.76,81.85
2020.540087,55.46,82.89
2020.567178,56.41,84.59
2020.59427,57.44,86.75
2020.621362,56.24,85.65
2020.648454,59.99,87.6
2020.675546,62.72,89.77
2020.702638,63.37,88.75
2020.72973,62.3,88.74
2020.756822,64.44,90.45
2020.783914,64.04,90.85
2020.811006,61.64,92.21
2020.838098,64.16,92.26
2020.86519,63.05,90.34
2020.892282,58.94,89.38
2020.919374,59.38,87.61
2020.946465,56.92,86.15
2020.973557,58.08,85.63
2021.000651,59.45,86.27
2021.027817,59.56,84.83
2021.054983,59.6,85.6
2021.08215,59.84,87.11
2021.109316,55.91,87.72
2021.136482,53.99,86.77
2021.163648,53.28,87.4
2021.190814,55.22,86.54
2021.21798,55.93,86.12
2021.245146,58.93,86.75
2021.272313,57.76,86.57
2021.299479,57.81,85.66
2021.326645,56.08,84.27
2021.353811,56.21,84.78
2021.380977,57.45,85.63
2021.408143,56.6,83.78
2021.43531,54.43,82.44
2021.462476,57.03,82.11
2021.489642,56.44,82.69
2021.516808,59.06,82.99
2021.543974,58.67,84.72
2021.57114,61.81,88.56
2021.598306,64.25,88.34
2021.625473,67.03,85.9
2021.652639,64.13,86.05
2021.679805,66.81,87.77
2021.706971,68.81,87.81
2021.734137,67.36,90.52
2021.761303,68.78,92.23
2021.788469,68.69,93.85
2021.815636,69.82,92.76
2021.842802,66.98,90.33
2021.869968,63.97,90.96
2021.897134,64.58,90.51
2021.9243,66.1,90.84
2021.951466,62.15,90.79
2021.978633,61.8,87.66
2022.005799,63.62,86.74
2022.032965,64.04,86.36
2022.060131,63.8,85.15
2022.087297,62.29,85.29
2022.114463,62.82,83.99
2022.141629,58.15,86.29
2022.168796,56.15,88.27
2022.195962,59.74,87.18
2022.223128,59.06,87.63
2022.250294,60.7,88.24
2022.27746,61.85,87.2
2022.304626,59.94,88.54
2022.331793,61.98,87.16
2022.358959,57.14,85.93
2022.386125,55.78,86.47
2022.413291,55.36,85.9
2022.440457,57.31,86.89
2022.467623,55.98,86.07
2022.494789,61.41,87.44
2022.521956,64.57,86.81
2022.549122,64.72,86.41
2022.576288,62.06,85.94
2022.603454,62.9,88.09
2022.63062,68.7,88.5
2022.657786,69.88,89.55
2022.684953,71.41,91.62
2022.712119,69.08,92.79
2022.739285,70.83,92.41
2022.766451,71.94,92.57
2022.793617,71.35,92.5
2022.820783,69.52,94.6
2022.847949,71.65,92.11
2022.875116,65.55,93.28
2022.902282,64.01,92.87
2022.929448,64.1,91.87
2022.956614,71.01,91.92
2022.98378,70.64,88.37
2023.010946,65.39,86.46
2023.038113,66.64,85.59
2023.065279,66.03,87.15
2023.092445,65.34,86.65
2023.119611,65.59,88.63
2023.146777,64.67,89.81
2023.173943,64.53,88.39
