,region,country,emissions,source,type,segment,reason,year,notes
1282,Middle East,Saudi Arabia,0.0680000036954879,IEA,Energy,Bioenergy,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1283,Middle East,Saudi Arabia,122.68599700927734,IEA,Energy,Gas pipelines and LNG facilities,Fugitive,2022,
1284,Middle East,Saudi Arabia,65.41629791259766,IEA,Energy,Gas pipelines and LNG facilities,Vented,2022,
1285,Middle East,Saudi Arabia,36.35609817504883,IEA,Energy,Offshore gas,Fugitive,2022,
1286,Middle East,Saudi Arabia,78.88510131835938,IEA,Energy,Offshore gas,Vented,2022,
1287,Middle East,Saudi Arabia,30.21109962463379,IEA,Energy,Offshore oil,Flared,2022,
1288,Middle East,Saudi Arabia,62.139198303222656,IEA,Energy,Offshore oil,Fugitive,2022,
1289,Middle East,Saudi Arabia,841.8679809570312,IEA,Energy,Offshore oil,Vented,2022,
1290,Middle East,Saudi Arabia,54.8218002319336,IEA,Energy,Onshore gas,Fugitive,2022,
1291,Middle East,Saudi Arabia,118.9520034790039,IEA,Energy,Onshore gas,Vented,2022,
1292,Middle East,Saudi Arabia,47.22969818115234,IEA,Energy,Onshore oil,Flared,2022,
1293,Middle East,Saudi Arabia,105.85099792480467,IEA,Energy,Onshore oil,Fugitive,2022,
1294,Middle East,Saudi Arabia,1434.0799560546875,IEA,Energy,Onshore oil,Vented,2022,
1295,Middle East,Saudi Arabia,42.53243255615234,IEA,Energy,Other from oil and gas,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1296,Middle East,Saudi Arabia,10.0,IEA,Energy,Satellite-detected large oil and gas emissions,All,2022,
1297,Middle East,Saudi Arabia,3051.0966796875,IEA,Energy,Total,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1301,Middle East,Syria,0.0199999995529651,IEA,Energy,Bioenergy,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1302,Middle East,Syria,14.07289981842041,IEA,Energy,Gas pipelines and LNG facilities,Fugitive,2022,
1303,Middle East,Syria,7.503680229187012,IEA,Energy,Gas pipelines and LNG facilities,Vented,2022,
1304,Middle East,Syria,11.43529987335205,IEA,Energy,Onshore gas,Fugitive,2022,
1305,Middle East,Syria,24.81220054626465,IEA,Energy,Onshore gas,Vented,2022,
1306,Middle East,Syria,65.5958023071289,IEA,Energy,Onshore oil,Flared,2022,
1307,Middle East,Syria,7.346819877624512,IEA,Energy,Onshore oil,Fugitive,2022,
1308,Middle East,Syria,99.5354995727539,IEA,Energy,Onshore oil,Vented,2022,
1309,Middle East,Syria,2.442213773727417,IEA,Energy,Other from oil and gas,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1310,Middle East,Syria,4.900000095367432,IEA,Energy,Satellite-detected large oil and gas emissions,All,2022,
1311,Middle East,Syria,237.66441345214844,IEA,Energy,Total,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1315,Middle East,United Arab Emirates,0.3000000119209289,IEA,Energy,Bioenergy,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1316,Middle East,United Arab Emirates,87.21330261230469,IEA,Energy,Gas pipelines and LNG facilities,Fugitive,2022,
1317,Middle East,United Arab Emirates,46.502201080322266,IEA,Energy,Gas pipelines and LNG facilities,Vented,2022,
1318,Middle East,United Arab Emirates,21.646499633789062,IEA,Energy,Offshore gas,Fugitive,2022,
1319,Middle East,United Arab Emirates,46.968299865722656,IEA,Energy,Offshore gas,Vented,2022,
1320,Middle East,United Arab Emirates,38.45009994506836,IEA,Energy,Offshore oil,Flared,2022,
1321,Middle East,United Arab Emirates,32.55339813232422,IEA,Energy,Offshore oil,Fugitive,2022,
1322,Middle East,United Arab Emirates,441.0360107421875,IEA,Energy,Offshore oil,Vented,2022,
1323,Middle East,United Arab Emirates,43.50379943847656,IEA,Energy,Onshore gas,Fugitive,2022,
1324,Middle East,United Arab Emirates,94.39409637451172,IEA,Energy,Onshore gas,Vented,2022,
1325,Middle East,United Arab Emirates,36.26440048217773,IEA,Energy,Onshore oil,Flared,2022,
1326,Middle East,United Arab Emirates,36.86650085449219,IEA,Energy,Onshore oil,Fugitive,2022,
1327,Middle East,United Arab Emirates,499.4710083007813,IEA,Energy,Onshore oil,Vented,2022,
1328,Middle East,United Arab Emirates,0.8920000195503235,IEA,Energy,Other from coal,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1329,Middle East,United Arab Emirates,13.071184158325195,IEA,Energy,Other from oil and gas,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1330,Middle East,United Arab Emirates,1439.1328125,IEA,Energy,Total,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1334,Middle East,Yemen,0.363999992609024,IEA,Energy,Bioenergy,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1335,Middle East,Yemen,1.1976900100708008,IEA,Energy,Gas pipelines and LNG facilities,Fugitive,2022,
1336,Middle East,Yemen,0.6386070251464844,IEA,Energy,Gas pipelines and LNG facilities,Vented,2022,
1337,Middle East,Yemen,0.1384650021791458,IEA,Energy,Onshore gas,Fugitive,2022,
1338,Middle East,Yemen,0.3004390001296997,IEA,Energy,Onshore gas,Vented,2022,
1339,Middle East,Yemen,40.5463981628418,IEA,Energy,Onshore oil,Flared,2022,
1340,Middle East,Yemen,6.669539928436279,IEA,Energy,Onshore oil,Fugitive,2022,
1341,Middle East,Yemen,90.3594970703125,IEA,Energy,Onshore oil,Vented,2022,
1342,Middle East,Yemen,0.0280000008642673,IEA,Energy,Other from coal,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1343,Middle East,Yemen,1.5389634370803833,IEA,Energy,Other from oil and gas,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1344,Middle East,Yemen,3.400000095367432,IEA,Energy,Satellite-detected large oil and gas emissions,All,2022,
1345,Middle East,Yemen,145.18161010742188,IEA,Energy,Total,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1349,North America,Canada,36.95600128173828,IEA,Energy,Bioenergy,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1350,North America,Canada,56.25040054321289,IEA,Energy,Coking coal,All,2022,
1351,North America,Canada,149.77000427246094,IEA,Energy,Gas pipelines and LNG facilities,Fugitive,2022,
1352,North America,Canada,79.85769653320312,IEA,Energy,Gas pipelines and LNG facilities,Vented,2022,
1353,North America,Canada,0.1137240007519722,IEA,Energy,Offshore gas,Fugitive,2022,
1354,North America,Canada,0.2467570006847381,IEA,Energy,Offshore gas,Vented,2022,
1355,North America,Canada,323.2640075683594,IEA,Energy,Onshore gas,Fugitive,2022,
1356,North America,Canada,701.4169921875,IEA,Energy,Onshore gas,Vented,2022,
1357,North America,Canada,34.76959991455078,IEA,Energy,Onshore oil,Flared,2022,
1358,North America,Canada,75.05500030517578,IEA,Energy,Onshore oil,Fugitive,2022,
1359,North America,Canada,1016.8499755859376,IEA,Energy,Onshore oil,Vented,2022,
1360,North America,Canada,1.7416280508041382,IEA,Energy,Other from coal,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1361,North America,Canada,57.55759048461914,IEA,Energy,Other from oil and gas,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1362,North America,Canada,14.549099922180176,IEA,Energy,Steam coal,All,2022,
1363,North America,Canada,2548.3984375,IEA,Energy,Total,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1367,North America,Mexico,74.12000274658203,IEA,Energy,Bioenergy,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1368,North America,Mexico,33.445701599121094,IEA,Energy,Coking coal,All,2022,
1369,North America,Mexico,171.9029998779297,IEA,Energy,Gas pipelines and LNG facilities,Fugitive,2022,
1370,North America,Mexico,91.65859985351562,IEA,Energy,Gas pipelines and LNG facilities,Vented,2022,
1371,North America,Mexico,15.506099700927734,IEA,Energy,Offshore gas,Fugitive,2022,
1372,North America,Mexico,33.644901275634766,IEA,Energy,Offshore gas,Vented,2022,
1373,North America,Mexico,195.1060028076172,IEA,Energy,Offshore oil,Flared,2022,
1374,North America,Mexico,35.652198791503906,IEA,Energy,Offshore oil,Fugitive,2022,
1375,North America,Mexico,483.0199890136719,IEA,Energy,Offshore oil,Vented,2022,
1376,North America,Mexico,27.29030036926269,IEA,Energy,Onshore gas,Fugitive,2022,
1377,North America,Mexico,59.21419906616211,IEA,Energy,Onshore gas,Vented,2022,
1378,North America,Mexico,64.87930297851562,IEA,Energy,Onshore oil,Flared,2022,
1379,North America,Mexico,15.19279956817627,IEA,Energy,Onshore oil,Fugitive,2022,
1380,North America,Mexico,205.83399963378903,IEA,Energy,Onshore oil,Vented,2022,
1381,North America,Mexico,0.9892163872718812,IEA,Energy,Other from coal,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1382,North America,Mexico,55.0184211730957,IEA,Energy,Other from oil and gas,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1383,North America,Mexico,18.85449981689453,IEA,Energy,Steam coal,All,2022,
1384,North America,Mexico,1581.3292236328125,IEA,Energy,Total,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1388,North America,United States,237.843994140625,IEA,Energy,Bioenergy,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1389,North America,United States,829.1829833984375,IEA,Energy,Coking coal,All,2022,
1390,North America,United States,1781.3699951171875,IEA,Energy,Gas pipelines and LNG facilities,Fugitive,2022,
1391,North America,United States,949.8289794921876,IEA,Energy,Gas pipelines and LNG facilities,Vented,2022,
1392,North America,United States,19.60790061950684,IEA,Energy,Offshore gas,Fugitive,2022,
1393,North America,United States,42.54499816894531,IEA,Energy,Offshore gas,Vented,2022,
1394,North America,United States,21.64189910888672,IEA,Energy,Offshore oil,Flared,2022,
1395,North America,United States,18.310400009155277,IEA,Energy,Offshore oil,Fugitive,2022,
1396,North America,United States,248.07000732421875,IEA,Energy,Offshore oil,Vented,2022,
1397,North America,United States,1756.949951171875,IEA,Energy,Onshore gas,Fugitive,2022,
1398,North America,United States,3812.2099609375,IEA,Energy,Onshore gas,Vented,2022,
1399,North America,United States,436.62298583984375,IEA,Energy,Onshore oil,Flared,2022,
1400,North America,United States,309.15899658203125,IEA,Energy,Onshore oil,Fugitive,2022,
1401,North America,United States,4188.52001953125,IEA,Energy,Onshore oil,Vented,2022,
1402,North America,United States,22.06521987915039,IEA,Energy,Other from coal,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1403,North America,United States,569.8220825195312,IEA,Energy,Other from oil and gas,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1404,North America,United States,357.6000061035156,IEA,Energy,Satellite-detected large oil and gas emissions,All,2022,
1405,North America,United States,1168.280029296875,IEA,Energy,Steam coal,All,2022,
1406,North America,United States,16769.630859375,IEA,Energy,Total,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1431,Russia & Caspian,Azerbaijan,0.3799999952316284,IEA,Energy,Bioenergy,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1432,Russia & Caspian,Azerbaijan,21.31760025024414,IEA,Energy,Gas pipelines and LNG facilities,Fugitive,2022,
1433,Russia & Caspian,Azerbaijan,11.366499900817873,IEA,Energy,Gas pipelines and LNG facilities,Vented,2022,
1434,Russia & Caspian,Azerbaijan,27.93440055847168,IEA,Energy,Offshore gas,Fugitive,2022,
1435,Russia & Caspian,Azerbaijan,60.61180114746094,IEA,Energy,Offshore gas,Vented,2022,
1436,Russia & Caspian,Azerbaijan,6.79315996170044,IEA,Energy,Offshore oil,Flared,2022,
1437,Russia & Caspian,Azerbaijan,10.47410011291504,IEA,Energy,Offshore oil,Fugitive,2022,
1438,Russia & Caspian,Azerbaijan,141.90499877929688,IEA,Energy,Offshore oil,Vented,2022,
1439,Russia & Caspian,Azerbaijan,0.3159739971160888,IEA,Energy,Onshore gas,Fugitive,2022,
1440,Russia & Caspian,Azerbaijan,0.6855980157852173,IEA,Energy,Onshore gas,Vented,2022,
1441,Russia & Caspian,Azerbaijan,1.0231499671936035,IEA,Energy,Onshore oil,Flared,2022,
1442,Russia & Caspian,Azerbaijan,2.5294198989868164,IEA,Energy,Onshore oil,Fugitive,2022,
1443,Russia & Caspian,Azerbaijan,34.268798828125,IEA,Energy,Onshore oil,Vented,2022,
1444,Russia & Caspian,Azerbaijan,3.6494603157043457,IEA,Energy,Other from oil and gas,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1445,Russia & Caspian,Azerbaijan,323.2549743652344,IEA,Energy,Total,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1449,Russia & Caspian,Kazakhstan,0.6039999723434448,IEA,Energy,Bioenergy,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1450,Russia & Caspian,Kazakhstan,103.28500366210938,IEA,Energy,Coking coal,All,2022,
1451,Russia & Caspian,Kazakhstan,60.720401763916016,IEA,Energy,Gas pipelines and LNG facilities,Fugitive,2022,
1452,Russia & Caspian,Kazakhstan,32.3760986328125,IEA,Energy,Gas pipelines and LNG facilities,Vented,2022,
1453,Russia & Caspian,Kazakhstan,14.49530029296875,IEA,Energy,Offshore gas,Fugitive,2022,
1454,Russia & Caspian,Kazakhstan,31.451799392700195,IEA,Energy,Offshore gas,Vented,2022,
1455,Russia & Caspian,Kazakhstan,17.77440071105957,IEA,Energy,Offshore oil,Flared,2022,
1456,Russia & Caspian,Kazakhstan,14.822199821472168,IEA,Energy,Offshore oil,Fugitive,2022,
1457,Russia & Caspian,Kazakhstan,200.81300354003903,IEA,Energy,Offshore oil,Vented,2022,
1458,Russia & Caspian,Kazakhstan,79.21119689941406,IEA,Energy,Onshore gas,Fugitive,2022,
1459,Russia & Caspian,Kazakhstan,171.8719940185547,IEA,Energy,Onshore gas,Vented,2022,
1460,Russia & Caspian,Kazakhstan,85.64119720458984,IEA,Energy,Onshore oil,Flared,2022,
1461,Russia & Caspian,Kazakhstan,77.7677993774414,IEA,Energy,Onshore oil,Fugitive,2022,
1462,Russia & Caspian,Kazakhstan,1053.6099853515625,IEA,Energy,Onshore oil,Vented,2022,
1463,Russia & Caspian,Kazakhstan,54.939056396484375,IEA,Energy,Other from coal,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1464,Russia & Caspian,Kazakhstan,13.901585578918455,IEA,Energy,Other from oil and gas,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1465,Russia & Caspian,Kazakhstan,77.0,IEA,Energy,Satellite-detected large oil and gas emissions,All,2022,
1466,Russia & Caspian,Kazakhstan,650.276123046875,IEA,Energy,Steam coal,All,2022,
1467,Russia & Caspian,Kazakhstan,2740.561279296875,IEA,Energy,Total,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1471,Russia & Caspian,Russia,28.38800048828125,IEA,Energy,Bioenergy,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1472,Russia & Caspian,Russia,1810.6800537109373,IEA,Energy,Coking coal,All,2022,
1473,Russia & Caspian,Russia,1231.3699951171875,IEA,Energy,Gas pipelines and LNG facilities,Fugitive,2022,
1474,Russia & Caspian,Russia,656.5679931640625,IEA,Energy,Gas pipelines and LNG facilities,Vented,2022,
1475,Russia & Caspian,Russia,35.04520034790039,IEA,Energy,Offshore gas,Fugitive,2022,
1476,Russia & Caspian,Russia,76.04080200195312,IEA,Energy,Offshore gas,Vented,2022,
1477,Russia & Caspian,Russia,32.23789978027344,IEA,Energy,Offshore oil,Flared,2022,
1478,Russia & Caspian,Russia,9.273099899291992,IEA,Energy,Offshore oil,Fugitive,2022,
1479,Russia & Caspian,Russia,125.63300323486328,IEA,Energy,Offshore oil,Vented,2022,
1480,Russia & Caspian,Russia,1256.52001953125,IEA,Energy,Onshore gas,Fugitive,2022,
1481,Russia & Caspian,Russia,2726.389892578125,IEA,Energy,Onshore gas,Vented,2022,
1482,Russia & Caspian,Russia,1168.010009765625,IEA,Energy,Onshore oil,Flared,2022,
1483,Russia & Caspian,Russia,353.1310119628906,IEA,Energy,Onshore oil,Fugitive,2022,
1484,Russia & Caspian,Russia,4784.25,IEA,Energy,Onshore oil,Vented,2022,
1485,Russia & Caspian,Russia,75.20860290527344,IEA,Energy,Other from coal,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1486,Russia & Caspian,Russia,103.70838928222656,IEA,Energy,Other from oil and gas,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1487,Russia & Caspian,Russia,1014.0,IEA,Energy,Satellite-detected large oil and gas emissions,All,2022,
1488,Russia & Caspian,Russia,2591.6298828125,IEA,Energy,Steam coal,All,2022,
1489,Russia & Caspian,Russia,18078.083984375,IEA,Energy,Total,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1493,Russia & Caspian,Turkmenistan,0.0879999995231628,IEA,Energy,Bioenergy,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1494,Russia & Caspian,Turkmenistan,312.3999938964844,IEA,Energy,Gas pipelines and LNG facilities,Fugitive,2022,
1495,Russia & Caspian,Turkmenistan,166.57200622558594,IEA,Energy,Gas pipelines and LNG facilities,Vented,2022,
1496,Russia & Caspian,Turkmenistan,42.4369010925293,IEA,Energy,Offshore gas,Fugitive,2022,
1497,Russia & Caspian,Turkmenistan,92.0792999267578,IEA,Energy,Offshore gas,Vented,2022,
1498,Russia & Caspian,Turkmenistan,79.73259735107422,IEA,Energy,Offshore oil,Flared,2022,
1499,Russia & Caspian,Turkmenistan,21.701000213623047,IEA,Energy,Offshore oil,Fugitive,2022,
1500,Russia & Caspian,Turkmenistan,294.00799560546875,IEA,Energy,Offshore oil,Vented,2022,
1501,Russia & Caspian,Turkmenistan,600.8790283203125,IEA,Energy,Onshore gas,Fugitive,2022,
1502,Russia & Caspian,Turkmenistan,1303.780029296875,IEA,Energy,Onshore gas,Vented,2022,
1503,Russia & Caspian,Turkmenistan,71.36699676513672,IEA,Energy,Onshore oil,Flared,2022,
1504,Russia & Caspian,Turkmenistan,25.29610061645508,IEA,Energy,Onshore oil,Fugitive,2022,
1505,Russia & Caspian,Turkmenistan,342.7149963378906,IEA,Energy,Onshore oil,Vented,2022,
1506,Russia & Caspian,Turkmenistan,6.9859538078308105,IEA,Energy,Other from oil and gas,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1507,Russia & Caspian,Turkmenistan,1380.0,IEA,Energy,Satellite-detected large oil and gas emissions,All,2022,
1508,Russia & Caspian,Turkmenistan,4740.041015625,IEA,Energy,Total,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1512,Russia & Caspian,Uzbekistan,0.0120000001043081,IEA,Energy,Bioenergy,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1513,Russia & Caspian,Uzbekistan,151.17100524902344,IEA,Energy,Gas pipelines and LNG facilities,Fugitive,2022,
1514,Russia & Caspian,Uzbekistan,80.60440063476562,IEA,Energy,Gas pipelines and LNG facilities,Vented,2022,
1515,Russia & Caspian,Uzbekistan,127.38899993896484,IEA,Energy,Onshore gas,Fugitive,2022,
1516,Russia & Caspian,Uzbekistan,276.4079895019531,IEA,Energy,Onshore gas,Vented,2022,
1517,Russia & Caspian,Uzbekistan,36.357398986816406,IEA,Energy,Onshore oil,Flared,2022,
1518,Russia & Caspian,Uzbekistan,4.675829887390137,IEA,Energy,Onshore oil,Fugitive,2022,
1519,Russia & Caspian,Uzbekistan,63.34859848022461,IEA,Energy,Onshore oil,Vented,2022,
1520,Russia & Caspian,Uzbekistan,5.676000118255615,IEA,Energy,Other from coal,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1521,Russia & Caspian,Uzbekistan,16.97391700744629,IEA,Energy,Other from oil and gas,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
1522,Russia & Caspian,Uzbekistan,18.299999237060547,IEA,Energy,Satellite-detected large oil and gas emissions,All,2022,
1523,Russia & Caspian,Uzbekistan,780.9161376953125,IEA,Energy,Total,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
